2014-01-01,21730,1045.67
2014-01-06,45007,1053.36
2014-01-13,37792,1049.58
2014-01-20,41523,1058.81
2014-01-27,42941,1067.92
2014-02-03,39286,1068.19
2014-02-10,42722,1056.17
2014-02-17,33843,1055.78
2014-02-24,42669,1060.55
2014-03-03,42766,1058.69
2014-03-10,45477,1057.24
2014-03-17,37050,1061.82
2014-03-24,41365,1064.28
2014-03-31,36556,1049.5
2014-04-07,37138,1035.37
2014-04-14,62978,1028.71
2014-04-21,47490,1028.16
2014-04-28,40347,1022.72
2014-05-05,38222,1014.69
2014-05-12,46174,1014.62
2014-05-19,35830,1014.1
2014-05-26,65403,1012.58
2014-06-02,70633,1013.8
2014-06-09,49404,1006.95
2014-06-16,40987,1010.16
2014-06-23,43030,1008.16
2014-06-30,198990,1000.89
2014-07-07,53739,1001.79
2014-07-14,37837,1015.7
2014-07-21,38299,1016.44
2014-07-28,44586,1016.04
2014-08-04,130145,1022.64
2014-08-11,47652,1018.62
2014-08-18,47123,1010.1
2014-08-25,71357,1006.81
2014-09-01,52681,1007.49
2014-09-08,53533,1024.7
2014-09-15,90253,1028.24
2014-09-22,45392,1031.49
2014-09-29,41398,1045.79
2014-10-06,41699,1057.42
2014-10-13,117194,1053.98
2014-10-20,59765,1046.57
2014-10-27,42434,1041.37
2014-11-03,27625,1071.9
2014-11-10,38417,1083.02
2014-11-17,32076,1093.4
2014-11-24,21748,1096.59
2014-12-01,29254,1102.55
2014-12-08,63985,1097.0
2014-12-15,25301,1086.23
2014-12-22,24929,1089.8
2014-12-29,11384,1088.09
