2010-01-01,4398,1133.97
2010-01-04,10783,1131.73
2010-01-11,14016,1112.15
2010-01-18,14423,1121.95
2010-01-25,13922,1142.98
2010-02-01,14557,1147.39
2010-02-08,16751,1150.46
2010-02-15,12933,1138.18
2010-02-22,18256,1143.18
2010-03-01,13737,1134.99
2010-03-08,17431,1121.08
2010-03-15,14042,1121.36
2010-03-22,12647,1126.64
2010-03-29,14245,1120.13
2010-04-05,16073,1111.08
2010-04-12,12612,1102.98
2010-04-19,12341,1101.58
2010-04-26,14077,1099.71
2010-05-03,15063,1120.59
2010-05-10,16794,1122.07
2010-05-17,16104,1147.39
2010-05-24,29006,1219.84
2010-05-31,31650,1194.96
2010-06-07,18527,1229.57
2010-06-14,21143,1203.51
2010-06-21,29851,1177.17
2010-06-28,50109,1206.58
2010-07-05,21431,1206.3
2010-07-12,21013,1188.02
2010-07-19,30312,1195.67
2010-07-26,21753,1176.94
2010-08-02,26996,1157.43
2010-08-09,23773,1164.98
2010-08-16,25997,1169.51
2010-08-23,68308,1179.43
2010-08-30,262302,1175.33
2010-09-06,43720,1161.35
2010-09-13,61296,1150.25
2010-09-20,38739,1148.51
2010-09-27,26215,1132.23
2010-10-04,23996,1111.58
2010-10-11,31124,1106.57
2010-10-18,25757,1113.38
2010-10-25,39133,1110.07
2010-11-01,46942,1100.39
2010-11-08,35599,1102.59
2010-11-15,24894,1122.68
2010-11-22,30000,1129.24
2010-11-29,39383,1141.63
2010-12-06,24063,1125.91
2010-12-13,28494,1136.78
2010-12-20,22750,1145.63
2010-12-27,17029,1132.82
